trial,featurizer,descriptor,model_params,train_r2,train_rms,valid_r2,valid_rms,test_r2,test_rms
0,computed_descriptors,rdkit_raw,170_15_119,0.9480081238306535,0.283871344284221,0.49709873724366427,0.8570126766254107,0.4386203140604018,0.9126858837388874
1,computed_descriptors,rdkit_raw,485_17_123,0.949621133580324,0.27943320062014176,0.48291131316013547,0.8690172572593536,0.44296733445041037,0.9091453437078589
2,computed_descriptors,rdkit_raw,143_32_185,0.9496207524255716,0.27943425768135105,0.4698150069922069,0.8799532471443555,0.426244169664469,0.9226915486455559
3,computed_descriptors,rdkit_raw,421_16_41,0.9471294052017176,0.2862601587145975,0.4965794339414953,0.8574550444558598,0.4212403375659519,0.9267062972422297
4,computed_descriptors,rdkit_raw,382_19_92,0.9506326009727561,0.2766138573384843,0.4848619507427462,0.8673765915000463,0.4332336240765292,0.9170542449537812
5,computed_descriptors,rdkit_raw,465_17_105,0.9497355821670568,0.2791156178621983,0.4838308914283682,0.8682441935574179,0.43532111966651543,0.9153638547487908
6,computed_descriptors,rdkit_raw,226_12_79,0.938511181772133,0.3087108423271703,0.4784131373307836,0.8727888811369836,0.42746938458586037,0.9217058509306699
7,computed_descriptors,rdkit_raw,87_32_195,0.9483061042245123,0.2830567012144291,0.46954000329794987,0.8801814307268151,0.44559388417211565,0.906999386065145
8,computed_descriptors,rdkit_raw,86_26_158,0.9494370975830839,0.2799431256331928,0.480716196151844,0.870859856403182,0.4337719851998222,0.9166185948598362
9,computed_descriptors,rdkit_raw,500_14_125,0.946641007996006,0.28757929717804426,0.4898791732786175,0.8631423192288765,0.43721354915484323,0.9138287208904138
